X,Y,OBJECTID,SITE_ID,PI_NAME,ADDRESS,PI_NUMBER,LEAD,STATUS,REM_LEVEL,CEA_STATUS,CATEGORY,COUNTY
575776.9999,407241,9526,599301,PARK STEEL & IRON CO,82 IRONS ST,753110,LSRP,Active,D,Ongoing,1,Ocean
628032,723967.0001,9527,599302,NOVEL KNIT INC,693 W PROSPECT AVE,284977,RAP,Active - RAP,C2,Ongoing,0,Bergen
434099.0001,479559.0001,9528,599340,ANN STREET BALLFIELD,21 ANN ST,753163,LSRP,Active,B,,1,Burlington
622977,702383,9529,599451,1917 1919 WILLOW AVENUE,1917 1919 WILLOW AVE,753299,UHOT,Active,C2,,0,Hudson
269426,326518.0001,9530,599550,525 RUSSELL MILL ROAD,525 RUSSELL MILL RD,753438,LSRP,Active,C2,,1,Gloucester
503320.0001,670998.0001,9531,546985,EBERLE PROPERTY,491 VALLEY RD,685396,LSRP,Active,C2,,1,Morris
566173,661550,9532,547317,KWICKCARD THERMOGRAPHERS,1915 E ELIZABETH AVE,685809,RAP,Active - RAP,C2,,0,Union
620019,697412.0001,9533,547558,700 MONROE STREET LOT 3.03,700 MONROE ST LOT 3.03,686096,RAP,Active - RAP,C3,Ongoing,1,Hudson
569838.3326,715547.9205,9534,548299,316 ORANGE ROAD,316 ORANGE RD,686977,LSRP,Active,C2,,1,Essex
588007,730031.0001,9535,548664,CITY OF CLIFTON ALLWOOD ROAD SEWER LINE,ALLWOOD RD BETWEEN BOOK CT & DWAS LINE,687413,PUB FUNDED,Active,C3,,2,Passaic
422964,811373.9999,9536,548909,CLINTON ST & RT 206 GROUNDWATER CONTAMINATION,E CLINTON ST & RT 206,687741,PUB FUNDED,Active,C3,,2,Sussex
435440,752279.9999,9537,548943,POST OFFICE,18 MAPLE AVE,687781,,Active,C1,,0,Morris
460639.3601,152458.3302,9538,549154,PALMER HOUSE RESTAURANT INC,3333 3361 WEST AVE,688025,LSRP,Active,C2,,1,Cape May
401882.4733,369050.7457,9539,550765,640 GRAVELLY HOLLOW ROAD,640 GRAVELLY HOLLOW RD,690021,LSRP,Active,B,,1,Burlington
637601.9399,750865.6599,9540,551289,33 EAST PALISADE AVENUE,33 E PALISADE AVE,690691,,Active,C1,,0,Bergen
605117.9999,687124,9541,551537,BENNETT STREET,16 BENNETT ST,690991,RAP,Active - RAP,,,0,Hudson
621029.9999,543285.9999,9542,551931,LITTLE SILVER SHOPS,OCEANPORT AVE,691538,LSRP,Active,C2,Ongoing,1,Monmouth
416106,687474.9999,9543,552103,210 OLD TURNPIKE ROAD,210 OLD TURNPIKE RD,691763,,Active,C1,,0,Hunterdon
629782.0001,504300.0002,9544,552174,VACANT LOT @ 407 LAKE AVE,407 LAKE AVE,995422,LSRP,Active,B,,,Monmouth
530060.5401,621872.5301,9545,552187,PEARL STREET PARKING FACILITY,25 PEARL ST,691865,RAP,Active - RAP,,,0,Middlesex
621718.9998,695226.9999,9546,552268,325 PARK AVENUE,325 PARK AVE,691968,UHOT,Active,C2,,0,Hudson
562159.9999,663584.0002,9547,552704,THOMPSON AVENUE GROUNDWATER CONTAMINATION,THOMPSON AVE & E 7TH AVE,692547,PUB FUNDED,Active,C3,,2,Union
318828,407646.9999,9548,553114,BASKETBALL COURT AT NORTHGATE II PARK,ELM ST & NORTH 6TH ST,693104,LSRP,Active,B,,1,Camden
610053.9999,756533,9549,553137,ROCHELLE AVENUE & PASSAIC STREET,ROCHELLE AVE & PASSAIC ST,693129,PUB FUNDED,Active,C3,,2,Bergen
620961.0001,505781.0001,9550,553540,1909 BRADFORD AVENUE,1909 BRADFORD AVE,693641,,Active,C1,,0,Monmouth
616580,553936,9551,553920,30 MARION STREET,30 MARION ST,694105,LSRP,Active,B,,1,Monmouth
338505.5,234633.2101,9552,554210,TERMINIX INTERNATIONAL CO,742 S DELSEA DR,694452,LSRP,Active,C2,Ongoing,1,Cumberland
595872.917,664494.4731,9553,554317,W 12TH ST & AVE C GROUNDWATER CONTAMINATION,W 12TH ST & AVE C,694583,PUB FUNDED,Active,C3,,2,Hudson
558150,503900,9554,554444,3224 ROUTE 9 SOUTH,3224 RT 9 S,780181,LSRP,Active,B,,1,Monmouth
610985,693446.0001,9555,554478,1075 WEST SIDE AVENUE,1075 W SIDE AVE,694781,LSRP,Active,C2,,1,Hudson
446022.9999,753764.9999,9556,554543,RBT INC TOP SPEED AUTOMOTIVE,146 LEDGEWOOD LANDING RD,27224,LSRP,Active,C2,Ongoing,1,Morris
577019,697088.0001,9557,554707,478 492 CENTRAL AVENUE,478 492 CENTRAL AVE,695062,LSRP,Active,C2,,1,Essex
449549,559359.9999,9558,654716,100 THANET ROAD,100 Thanet Road,990520,LSRP,Active,,,,Mercer
595827.0001,668542.0001,9559,654722,POST ROAD GARDENS APARTMENTS,535 AVE A REAR & 549 AVE A,872083,RAP,Active - RAP,C2,,1,Hudson
